id,slug,name,description
1,theres-always-tomorrow,There’s Always Tomorrow,"🤬 Sleep on it. You can always tell someone to go to hell tomorrow. You won’t have missed the opportunity. Forget about it for a day. If you feel the same way tomorrow, tell them. But don't spout off in a moment of anger."
2,dont-take-no,Don’t Take No,"🙉 Don’t take ""No"" from someone who can't give you a ""Yes"". Every No gets you one step closer to finding a Yes. Persistence pays but be smart who you ask."
3,eliminate-number-seven,Eliminate Number Seven,"🔨 Always eliminate number seven from the options. When you ask people to pick a number between 1 and 10, around 80% will choose seven. To get a more accurate rating, remove number seven as an option."
4,exercise,Exercise,"🏋️ Regular exercise improves your health. Exercise improves your health, mood, energy, and even your sleep. Find something you enjoy and start doing it at least once a week to kickstart your exercise routine."
5,eat-the-frog,Eat The Frog,"🐸 Do the most difficult task of the day first. Once you completed the most difficult task, everything else will seem easy. If you want to get things done, do them in the morning. As the day progresses, your willpower diminishes. Like a muscle, it becomes tired from overuse."
6,two-minute-rule,Two minute rule,"⏱️ If a task takes two minutes or less, do it immediately. Gets easy tasks out of your head and out of the way. Adding the task to your mental to-do list and managing the anxiety of not having done it takes more effort than just doing it now."
7,not-to-do-list,(Not) To Do List,💭 Keep a Not-To-Do-List. Not-To-Dos are things you want to avoid doing at all costs. The list will help you break out of patterns or behaviors you don’t want or what to change.
8,trust-yourself,Trust Yourself,🚀 Start that project. Make that change. Trust yourself. Ten years from now you will be more disappointed by the things you didn’t than by the things you did do. Read (5 min) 6 Tips for Building Trust in Yourself
9,make-your-bed,Make your bed,"✅ Make your bed first thing in the morning. If you make your bed in the morning, you will have accomplished the first task of the day. No matter what happens throughout the day, it always feels good to come home to a made bed."
10,drink-water,Drink Water,"💧 Drink at least 2L of water every day. Drinking water makes you less hungry, more awake and more alert. It also improves short term memory and mental function.  If you want to crush it during the day, stay hydrated."
11,keep-learning-formerly-learn,Keep Learning ---- (formerly Learn),"📚 Learn something new every day. If you learn one new thing every day, you will have learned 365 things after one year. No matter what you do, keep learning. Watch (1 min) Hone Your Zulu Skills - Gordon Ramsay"
12,synergize,Synergize,"🤝 Comes from the Greek word for “working together"" Work together to achieve more than you could by yourself. Synergy is better than “my way” or “your way”. It’s our way. ------ Work together to achieve more than you could by yourself. Synergy comes from the Greek word for “working together.” Synergy is better than my way or your way.  It’s our way."
13,shock-the-system,Shock The System,"⚡️ Shock your system to get out of old habits and make way for new ones. It’s like jumping into a cold pool. First, it's uncomfortable, but our bodies adjust quickly. The initial shock is what we need to get us going. But the initial shock is also what we’re most of us are afraid of. Start that project. Quit that job. End that relationship. Take cold showers. Shock your system."
